nProducers	nConsumers	type	Score	Error	Units	backoffStartTimeout	chunkSize	cleanupCycles
8	2	SALSA	558,274	2,383	ops/ms	5	100	1
8	4	SALSA	571,199	5,14	ops/ms	5	100	1
8	6	SALSA	637,191	7,643	ops/ms	5	100	1
8	8	SALSA	576,72	7,268	ops/ms	5	100	1
8	1	SALSA	537,919	4,79	ops/ms	5	100	2147483647
8	2	SALSA	562,065	3,417	ops/ms	5	100	2147483647
8	4	SALSA	570,417	3,659	ops/ms	5	100	2147483647
8	6	SALSA	627,964	14,1	ops/ms	5	100	2147483647
8	8	SALSA	560,545	13,667	ops/ms	5	100	2147483647
8	1	SALSA	547,675	3,723	ops/ms	5	500000	1
8	2	SALSA	537,53	11,624	ops/ms	5	500000	1
8	4	SALSA	582,07	6,365	ops/ms	5	500000	1
8	6	SALSA	654,69	16,476	ops/ms	5	500000	1
8	8	SALSA	556,258	10,946	ops/ms	5	500000	1
8	1	SALSA	543,128	6,347	ops/ms	5	500000	2147483647
8	2	SALSA	554,169	13,216	ops/ms	5	500000	2147483647
8	4	SALSA	584,105	8,826	ops/ms	5	500000	2147483647
8	6	SALSA	634,316	18,419	ops/ms	5	500000	2147483647
8	8	SALSA	556,196	5,347	ops/ms	5	500000	2147483647
8	1	SALSA	551,565	2,414	ops/ms	50	100	1
8	2	SALSA	561,6	12,193	ops/ms	50	100	1
8	4	SALSA	598,355	9,808	ops/ms	50	100	1
8	6	SALSA	613,748	26,569	ops/ms	50	100	1
8	8	SALSA	558,767	7,965	ops/ms	50	100	1
8	1	SALSA	538,782	2,075	ops/ms	50	100	2147483647
8	2	SALSA	570,331	9,802	ops/ms	50	100	2147483647
8	4	SALSA	585,513	22,284	ops/ms	50	100	2147483647
8	6	SALSA	620,691	13,852	ops/ms	50	100	2147483647
8	8	SALSA	544,925	7,361	ops/ms	50	100	2147483647
8	1	SALSA	542,091	7,023	ops/ms	50	500000	1
8	2	SALSA	552,79	24,498	ops/ms	50	500000	1
